Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Underhood ID	Veh Class	Air Pollution Score	FE Calc Appr	City MPG	Hwy MPG	Cmb MPG	Unadj Cmb MPG	Greenhouse Gas Score	SmartWay
ACURA MDX	3.5	(6 cyl)	Auto-L5	4WD	Gasoline	CA	U2	6HNXT03.5RKR	SUV	7	N/A	15	21	17	22.0996	4	no
ACURA MDX	3.5	(6 cyl)	Auto-L5	4WD	Gasoline	FA	B5	6HNXT03.5RKR	SUV	6	N/A	15	21	17	22.0996	4	no
ACURA RL	3.5	(6 cyl)	Auto-S5	4WD	Gasoline	CA	U2	6HNXV03.5MKR	midsize car	7	N/A	16	24	19	24.5629	5	no
ACURA RL	3.5	(6 cyl)	Auto-S5	4WD	Gasoline	FA	B5	6HNXV03.5MKR	midsize car	6	N/A	16	24	19	24.5629	5	no
ACURA RSX	2	(4 cyl)	Man-6	2WD	Gasoline	FA	B5	6HNXV02.0DKC	small car	6	N/A	20	28	23	30.1564	7	yes
ACURA RSX	2	(4 cyl)	Auto-S5	2WD	Gasoline	FA	B5	6HNXV02.0DKC	small car	6	N/A	22	31	25	33.294	7	yes
ACURA RSX	2	(4 cyl)	Man-5	2WD	Gasoline	FA	B5	6HNXV02.0DKC	small car	6	N/A	24	31	26	35.1065	8	yes
ACURA RSX	2	(4 cyl)	Man-6	2WD	Gasoline	CA	L2	6HNXV02.0DKC	small car	6	N/A	20	28	23	30.1564	7	yes
ACURA RSX	2	(4 cyl)	Auto-S5	2WD	Gasoline	CA	L2	6HNXV02.0DKC	small car	6	N/A	22	31	25	33.294	7	yes
ACURA RSX	2	(4 cyl)	Man-5	2WD	Gasoline	CA	L2	6HNXV02.0DKC	small car	6	N/A	24	31	26	35.1065	8	yes
ACURA TL	3.2	(6 cyl)	Auto-S5	2WD	Gasoline	CA	U2	6HNXV03.2NKR	midsize car	7	N/A	18	26	21	27.0005	6	yes
ACURA TL	3.2	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6HNXV03.2NKR	midsize car	7	N/A	18	26	21	27.3175	6	yes
ACURA TL	3.2	(6 cyl)	Auto-S5	2WD	Gasoline	FA	B5	6HNXV03.2NKR	midsize car	6	N/A	18	26	21	27.0005	6	no
ACURA TL	3.2	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6HNXV03.2NKR	midsize car	6	N/A	18	26	21	27.3175	6	no
ACURA TSX	2.4	(4 cyl)	Man-6	2WD	Gasoline	FA	B5	6HNXV02.4FKC	small car	6	N/A	19	28	22	29.0566	6	no
ACURA TSX	2.4	(4 cyl)	Auto-S5	2WD	Gasoline	FA	B5	6HNXV02.4FKC	small car	6	N/A	20	28	23	29.9192	7	yes
ACURA TSX	2.4	(4 cyl)	Man-6	2WD	Gasoline	CA	L2	6HNXV02.4FKC	small car	6	N/A	19	28	22	29.0566	6	no
ACURA TSX	2.4	(4 cyl)	Auto-S5	2WD	Gasoline	CA	L2	6HNXV02.4FKC	small car	6	N/A	20	28	23	29.9192	7	yes
ASTON MARTIN DB9	5.9	(12 cyl)	Man-6	2WD	Gasoline	FA	B5	6ASXV05.9803	small car	6	N/A	10	16	12	15.625	0	no
ASTON MARTIN DB9	5.9	(12 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6ASXV05.9803	small car	6	N/A	11	18	13	16.9826	1	no
ASTON MARTIN DB9	5.9	(12 cyl)	Man-6	2WD	Gasoline	CA	L2	6ASXV05.9803	small car	6	N/A	10	16	12	15.625	0	no
ASTON MARTIN DB9	5.9	(12 cyl)	Auto-S6	2WD	Gasoline	CA	L2	6ASXV05.9803	small car	6	N/A	11	18	13	16.9826	1	no
ASTON MARTIN DB9 Volante	5.9	(12 cyl)	Man-6	2WD	Gasoline	FA	B5	6ASXV05.9803	small car	6	N/A	10	16	12	15.625	0	no
ASTON MARTIN DB9 Volante	5.9	(12 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6ASXV05.9803	small car	6	N/A	11	17	13	17.0071	1	no
ASTON MARTIN DB9 Volante	5.9	(12 cyl)	Man-6	2WD	Gasoline	CA	L2	6ASXV05.9803	small car	6	N/A	10	16	12	15.625	0	no
ASTON MARTIN DB9 Volante	5.9	(12 cyl)	Auto-S6	2WD	Gasoline	CA	L2	6ASXV05.9803	small car	6	N/A	11	17	13	17.0071	1	no
ASTON MARTIN V12 Vanquish S	5.9	(12 cyl)	Auto-S6	2WD	Gasoline	FC	B7	6ASXV05.9V03	small car	4	N/A	10	16	12	15.1931	0	no
ASTON MARTIN V8 Vantage	4.3	(8 cyl)	Man-6	2WD	Gasoline	FA	B5	6ASXV04.3305	small car	6	N/A	12	17	14	17.5767	2	no
ASTON MARTIN V8 Vantage	4.3	(8 cyl)	Man-6	2WD	Gasoline	CA	L2	6ASXV04.3305	small car	6	N/A	12	17	14	17.5767	2	no
AUDI A3	2	(4 cyl)	Man-6	2WD	Gasoline	CA	U2	6ADXV02.0366	station wagon	7	N/A	21	29	24	31.0679	7	yes
AUDI A3	2	(4 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6ADXV02.0366	station wagon	7	N/A	22	29	25	32.3758	7	yes
AUDI A3	2	(4 cyl)	Man-6	2WD	Gasoline	FA	B5	6ADXV02.0366	station wagon	6	N/A	21	29	24	31.0679	7	yes
AUDI A3	2	(4 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6ADXV02.0366	station wagon	6	N/A	22	29	25	32.3758	7	yes
AUDI A3	3.2	(6 cyl)	Auto-S6	4WD	Gasoline	FA	B5	6VWXV03.2535	station wagon	6	N/A	18	25	21	27.2385	6	no
